country,totalcase,newcase,newdeath,recovered,active,conti
Afghanistan,"51,764",169,"2,148","40,665","8,951",Asia
Africa,"26,13,400",646,"61,549","21,88,447","3,63,404",Africa
Albania,"54,827",Null,"1,125","30,276","23,426",Europe
Algeria,"97,007",Null,"2,705","64,777","29,525",Africa
Andorra,"7,699",Null,83,"7,171",445,Europe
Angola,"17,029",Null,393,"9,729","6,907",Africa
Anguilla,11,Null, ,10,1,North America
Antigua and Barbuda,154,Null,5,146,3,North America
Argentina,"15,71,680",Null,"42,392","13,84,277","1,45,011",South America
Armenia,"1,56,763",621,"2,733","1,37,815","16,215",Asia
Aruba,"5,257",Null,47,"5,031",179,North America
Asia,"2,01,61,462","33,183","3,28,733","1,85,22,436","13,10,293",Asia
Australia,"28,273",11,908,"25,722","1,643",Australia/Oceania
Australia/Oceania,"47,843",11,"1,052","33,373","13,418",Australia/Oceania
Austria,"3,49,055","1,851","5,783","3,18,154","25,118",Europe
Azerbaijan,"2,10,061",Null,"2,380","1,55,886","51,795",Asia
Bahamas,"7,788",Null,169,"6,166","1,453",North America
Bahrain,"91,070",Null,350,"88,963","1,757",Asia
Bangladesh,"5,07,265","1,163","7,398","4,48,803","51,064",Asia
Barbados,345,Null,7,291,47,North America
Belarus,"1,83,006","1,893","1,367","1,61,832","19,807",Europe
Belgium,"6,34,904","2,583","19,038","43,749","5,72,117",Europe
Belize,"10,490",Null,228,"9,081","1,181",North America
Benin,"3,205",Null,44,"3,061",100,Africa
Bermuda,560,Null,9,338,213,North America
Bhutan,541,22, ,442,99,Asia
Bolivia,"1,53,121","1,057","9,076","1,29,387","14,658",South America
Bosnia and Herzegovina,"1,08,298",Null,"3,878","73,896","30,524",Europe
Botswana,"14,025",Null,40,"11,627","2,358",Africa
Brazil,"74,25,593",Null,"1,90,032","64,49,822","7,85,739",South America
British Virgin Islands,86,Null,1,74,11,North America
Brunei ,152,Null,3,149,0,Asia
Bulgaria,"1,96,658",Null,"7,023","1,07,680","81,955",Europe
Burkina Faso,"5,941",Null,77,"4,129","1,735",Africa
Burundi,773,Null,2,687,84,Africa
Cabo Verde,"11,688",Null,112,"11,366",210,Africa
Cambodia,363,Null, ,354,9,Asia
Cameroon,"26,277",Null,448,"24,892",937,Africa
Canada,"5,35,212",Null,"14,719","4,44,063","76,430",North America
CAR,"4,948",Null,63,"1,924","2,961",Africa
Caribbean Netherlands,182,Null,3,174,5,North America
Cayman Islands,318,Null,2,290,26,North America
Chad,"1,958",Null,102,"1,651",205,Africa
Channel Islands,"2,880",Null,57,"1,898",925,Europe
Chile,"5,93,310",Null,"16,303","5,63,457","13,550",South America
China,"86,913",14,"4,634","81,959",320,Asia
Colombia,"15,59,766",Null,"41,454","14,17,316","1,00,996",South America
Comoros,715,Null,7,626,82,Africa
Congo,"6,571",Null,100,"4,988","1,483",Africa
Costa Rica,"1,62,990",Null,"2,086","1,28,842","32,062",North America
Croatia,"2,03,962","1,643","3,548","1,86,553","13,861",Europe
Cuba,"10,717",Null,139,"9,378","1,200",North America
Curaçao,"4,099",Null,12,"2,430","1,657",North America
Cyprus,"19,316",Null,107,"2,057","17,152",Asia
Czechia,"6,64,863","4,363","10,859","5,57,696","96,308",Europe
Denmark,"1,46,341",Null,"1,114","1,02,184","43,043",Europe
Djibouti,"5,800",Null,61,"5,690",49,Africa
Dominica,88,Null, ,83,5,North America
Dominican Republic,"1,63,654",Null,"2,404","1,26,732","34,518",North America
DRC,"16,282",Null,573,"13,982","1,727",Africa
Ecuador,"2,08,010",Null,"13,977","1,81,618","12,415",South America
Egypt,"1,28,993",Null,"7,260","1,08,474","13,259",Africa
El Salvador,"44,619",Null,"1,289","39,989","3,341",North America
Equatorial Guinea,"5,236",Null,85,"5,078",73,Africa
Eritrea,951,Null,1,600,350,Africa
Estonia,"24,582",575,202,"15,543","8,837",Europe
Eswatini,"8,032",Null,154,"6,952",926,Africa
Ethiopia,"1,21,399",Null,"1,882","1,06,845","12,672",Africa
Europe,"2,23,01,246","76,232","5,14,156","1,08,16,142","1,09,70,948",Europe
Faeroe Islands,561,Null, ,526,35,Europe
Falkland Islands,29,Null, ,17,12,South America
Fiji,46,Null,2,44,0,Australia/Oceania
Finland,"34,648",201,524,"26,000","8,124",Europe
France,"25,27,509",Null,"62,268","1,88,639","22,76,602",Europe
French Guiana,"12,685",Null,71,"9,995","2,619",South America
French Polynesia,"16,550",Null,108,"4,842","11,600",Australia/Oceania
Gabon,"9,469",Null,64,"9,310",95,Africa
Gambia,"3,791",Null,123,"3,659",9,Africa
Georgia,"2,18,724","1,881","2,313","1,96,220","20,191",Asia
Germany,"16,14,326",Null,"29,681","11,84,400","4,00,245",Europe
Ghana,"54,043",Null,333,"52,777",933,Africa
Gibraltar,"1,534",58,6,"1,076",452,Europe
Greece,"1,34,235",Null,"4,457","9,989","1,19,789",Europe
Greenland,25,Null, ,19,6,North America
Grenada,105,Null, ,49,56,North America
Guadeloupe,"8,588",Null,154,"2,242","6,192",North America
Guatemala,"1,34,894",Null,"4,749","1,22,965","7,180",North America
Guinea,"13,646",16,80,"13,049",517,Africa
Guinea-Bissau,"2,447",Null,45,"2,386",16,Africa
Guyana,"6,266",Null,162,"5,478",626,South America
Haiti,"9,805",Null,234,"8,413","1,158",North America
Honduras,"1,18,036",Null,"3,054","54,806","60,176",North America
Hong Kong,"8,482",57,136,"7,217","1,129",Asia
Hungary,"3,14,164","2,610","8,833","1,23,989","1,81,342",Europe
Iceland,"5,683",Null,28,"5,506",149,Europe
India,"1,01,47,468",Null,"1,47,128","97,17,834","2,82,506",Asia
Indonesia,"7,00,097","7,259","20,847","5,70,304","1,08,946",Asia
Iran,"11,89,203","6,021","54,440","9,33,736","2,01,027",Asia
Iraq,"5,89,943","1,140","12,755","5,28,872","48,316",Asia
Ireland,"83,073",Null,"2,192","23,364","57,517",Europe
Isle of Man,374,Null,25,346,3,Europe
Israel,"3,93,369","3,691","3,185","3,56,689","33,495",Asia
Italy,"20,09,317",Null,"70,900","13,44,785","5,93,632",Europe
Ivory Coast,"22,071",Null,133,"21,629",309,Africa
Jamaica,"12,519",Null,292,"9,579","2,648",North America
Japan,"2,06,139",Null,"3,050","1,74,879","28,210",Asia
Jordan,"2,83,690",Null,"3,681","2,54,496","25,513",Asia
Kazakhstan,"1,50,198",736,"2,196","1,36,365","11,637",Asia
Kenya,"95,431",Null,"1,652","76,720","17,059",Africa
Kuwait,"1,49,017",Null,926,"1,44,898","3,193",Asia
Kyrgyzstan,"80,025",180,"1,340","74,177","4,508",Asia
Laos,41,Null, ,37,4,Asia
